id,contest,section,registry_num,school,production,github,bitbucket,other_repo,slideshare,other_slide,twitter,facebook,site,result,prize
124,26,1,16,"鈴鹿高専","ダレカタスケテー","","","","","","","","",,"優秀賞,Second Prize"
125,26,1,17,"一関高専","FREE LOCATION —「第２の災害」を防ぐために—",,,,,,,,,,""
126,26,1,18,"高知高専","Local Hazard Alarm —防災局地情報通知—",,,,,,,,,,""
127,26,1,19,"米子高専","NANASE —緊急時所在・安否確認システム—","","","","","","","","",,"特別賞"
128,26,1,20,"熊本高専八代キャンパス","やまび〜こん —あなたの登山をiBeaconがお助け—","","","","","","","","",,"特別賞"
129,26,2,1,"熊本高専熊本キャンパス","エモナイザー —感情を音にするシンセサイザー—",,,,,,,,,,""
130,26,2,2,"仙台高専広瀬キャンパス","色わかーる",,,,,,,,,,""
131,26,2,3,"高知高専","びーこん館 —Beaconを活用した次世代図書館システム—",,,,,,,,,,""
132,26,2,4,"沖縄高専","SwipeTalk —いちばん手軽なメッセンジャー—",,,,,,,,,,""
133,26,2,5,"香川高専詫間キャンパス",Canvas,"","","","","","","","",,"優秀賞"
134,26,2,6,"八戸高専","Vitra Recipe —スマートグラス料理支援システム—",,,,,,,,,,""
135,26,2,7,"新居浜高専","脊椎でみる骨粗鬆症診断 ",,,,,,,,,,""
136,26,2,8,"熊本高専熊本キャンパス","あやどる",,,,,,,,,,""
137,26,2,9,"弓削商船高専","SmartAIS —海内の旗幟—","","","","","","","","",,"文部科学大臣賞,最優秀賞,情報処理学会若手奨励賞,Grand Prize"
138,26,2,10,"沖縄高専","VirtuaLive —リアルとバーチャルの超結合で超没入—",,,,,,,,,,""
139,26,2,11,"釧路高専","LouiseのAutomeEngine —キミと育む響想曲—",,,,,,,,,,""
140,26,2,12,"舞鶴高専","Familiar Map —地域情報マップ—",,,,,,,,,,""
141,26,2,13,"徳山高専","Pianist —鍵盤楽器運指練習システム—",,,,,,,,,,""
142,26,2,14,"久留米高専","音theBounce!",,,,,,,,,,""
143,26,2,15,"鳥羽商船高専","素敵な劇しまSHOW —PowerPointで劇の演出支援—","","","","","","","","",,"特別賞"
144,26,2,16,"阿南高専","NY BATH GUIDE —入力見守りシステム-バスガイド—",,,,,,,,,,""
145,26,2,17,"サレジオ高専","mood maker —音と証明による新しい作業環境の提案—",,,,,,,,,,""
146,26,2,18,"長野高専","プラネオ —Planetarium x OculusRift—",,,,,,,,,,""
147,26,2,19,"東京高専","PULL DOG —資格障がい者導きシステム—","","","","","","","","",,"優秀賞,Second Prize"
148,26,2,20,"弓削商船高専","HAL2015 —HeatupActiveLearning—",,,,,,,,,,""
149,26,0,1,"鈴鹿高専","君に会いたいこの衝動 —心を埋める奇跡の石畳—",,,,,,,,,,""
150,26,0,2,"大島商船高専","【初投稿】石置いてみた！！",,,,,,,,,,""
151,26,0,3,"木更津高専","まきとまと",https://github.com/shamal-ref/procon26_competition,"","","","",https://twitter.com/shamal_ref,"","",,""
152,26,0,4,"津山高専","トロリス",,,,,,,,,,""
153,26,0,5,"舞鶴高専","小さき石は巌となりて",,,,,,,,,,""
154,26,0,6,"新居浜高専","レイオーバー・ネットワーク！",,,,,,,,,,""
155,26,0,7,"鳥羽商船高専","もずく！",,,,,,,,,,""
156,26,0,8,"八戸高専","プログラムが一晩でやってくれました","","","","","","","","",1,"文部科学大臣賞,優勝,情報処理学会若手奨励賞,Champion"
157,26,0,9,"松江高専","ダンベルで人を殴るのは間違っているだろうか",,,,,,,,,,""
158,26,0,10,"苫小牧高専","ワンボード石畳Z80",https://github.com/pakutoma/ProCon26,"","","","","","","",,""
159,26,0,11,"秋田高専","可能性のある俺たち","","","","","","","","",18,""
160,26,0,12,"米子高専",nioghalvfems,,,,,,,,,,""
161,26,0,13,"都城高専","敷地に合う石を求めるのは間違っているだろうか",,,,,,,,,,""
162,26,0,14,"熊本高専八代キャンパス","Z・職人を超えて",,,,,,,,,,""
163,26,0,15,"香川高専高松キャンパス","大饂飩帝国高松支部石畳工作部隊","","","","","","","","",3,"第三位"
164,26,0,16,"小山高専","NP簡単",,,,,,,,,,""
165,26,0,17,"茨城高専","さんだぶ造園　敷き詰め事業所",,,,,,,,,,""
166,26,0,18,"東京高専","銀の弾などない",https://github.com/tnct-spc/procon2015,"","","","","","","",13,""
167,26,0,20,"徳山高専","とーふ石＋＋",,,,,,,,,,""
168,26,0,21,"旭川高専","アイエエ！ WA！？ WAナンデ！？",https://github.com/hal1437/Procon26,"","","","",https://twitter.com/hal1437/status/653595440655433728,"","",5,"特別賞"
169,26,0,22,"大分高専","パズル三銃士","","","","","","","","",15,""
170,26,0,23,"神戸市立高専","石畳職人はておくれてしまった！",,,,,,,,,,""
171,26,0,24,"福島高専","チームソフ研",,,,,,,,,,""
172,26,0,25,"熊本高専熊本キャンパス",NISHI,https://github.com/knct-densan/procon26,"","","","","","","",,""
173,26,0,26,"群馬高専","ろじかるすぃんきんぐ！",,,,,,,,,,""
174,26,0,27,"北九州高専","ZKってワクワク！石ゴロリ！",,,,,,,,,,""
175,26,0,28,"明石高専","響け！アルゴリズム",,,,,,,,,,""
176,26,0,29,"函館高専","いかぽっぽ","","","","","","","","",17,""
177,26,0,30,"奈良高専","石舞台古墳の石を敷き詰めたい",,,,,,,,,,""
178,26,0,31,"香川高専詫間キャンパス","石の意思は固かった —動かねぇぞこいつ—","","",https://twitter.com/taka_katsu0411/status/654592951008432128,"","","","","",16,""
179,26,0,32,"広島商船高専","復活の「zk」",,,,,,,,,,""
180,26,0,33,"沼津高専","赤点コーダー","","","","","","","","",11,""
181,26,0,34,"福井高専","ネコミミはりけーん",https://github.com/hr-ken/Nekomimi_Hurricane,"","","","","","","",12,""
182,26,0,35,"呉高専","やはり俺たちのプログラムは間違っている",,,,,,,,,,""
183,26,0,36,"鹿児島高専","石畳職人の野望",https://github.com/nitkagoshima-sysken/Procon26,"","","","",https://twitter.com/dongurixp,"","",,""
184,26,0,37,"弓削商船高専","酸滴石穿",,,,,,,,,,""
185,26,0,38,"一関高専","う゛っ・・・じゃじゃ麺Z",,,,,,,,,,""
186,26,0,39,"和歌山高専",Level0,,,,,,,,,,""
187,26,0,40,"都立産技高専品川キャンパス","たんぽぽ","","","","","","","",http://hokekyo1210.hatenablog.jp/entry/2015/10/15/181751,2,"準優勝,First Runner-up Prize"
188,26,0,41,"佐世保高専","パズルZUKUめ",,,,,,,,,,""
189,26,0,42,"鶴岡高専",Avalanche,,,,,,,,,,""
190,26,0,43,"仙台高専広瀬キャンパス","ずくクラフト —お宅の敷地リフォームします—",,,,,,,,,,""
191,26,0,44,"沖縄高専","進捗優先探索","","","","","","","","",10,"特別賞"
192,26,0,45,"長岡高専","高専omino",,,,,,,,,,""
193,26,0,46,"近畿大学高専","甃マイスター",,,,,,,,,,""
194,26,0,47,"都立産技高専荒川キャンパス","石あるところに道あり",,,,,,,,,,""
195,26,0,48,"長野高専","高専の敷き詰め理論1B",https://github.com/MurakamiShun/-,"","","","",https://twitter.com/shunEnshuu,"","",6,""
196,26,0,49,"サレジオ高専","日本よくばり建設 —太平洋埋め立て計画—","","","","","","","","",14,""
197,26,0,50,"岐阜高専","テトずく　だぁくねす",,,,,,,,,,""
198,26,0,51,"高知高専","Fill the space",,,,,,,,,,""
199,26,0,52,"石川高専","石の上にも二年",,,,,,,,,,""
200,26,0,53,"阿南高専","たたみかけリピート",,,,,,,,,,""
201,26,0,54,"大阪府大高専","タタミミズク","","","","","","","","",7,"特別賞"
202,26,0,55,"釧路高専","石まみれで —あ〜もう発想が出るう〜〜—",https://github.com/KNCT-KPC/Bungo,"","","","","","","",9,""
203,26,0,56,"有明高専","爆裂メメント・モリ",,,,,,,,,,""
204,26,0,57,"豊田高専","チーム伊佐地",,,,,,,,,,""
205,26,0,58,"久留米高専","敷地うまるちゃん",,,,,,,,,,""
206,26,0,59,"富山高専射水キャンパス","式だせ！解だせ！[zk]だせ！","","","","","","","","",8,""
207,26,0,60,"宇部高専","ワンダープロコン",,,,,,,,,,""
208,26,0,61,"仙台高専名取キャンパス","Stone Garden Kit —庭職人ですが。—",,,,,,,,,,""
209,26,0,62,"ハノイ国家大学",VNU-UET,"","","","","","","","",,"Special Prize"
210,26,0,63,"モンゴル国家大学",NUM-SEAS,,,,,,,,,,""
211,26,0,64,"ペトロナス工科大学",PETROMINO,,,,,,,,,,""
212,26,0,65,"香港IVE","IVE Computer Engineering",,,,,,,,,,""
213,26,0,66,"中京大学","石も敷き詰めれば壁となる",,,,,,,,,,""
214,26,0,67,"豊橋技術科学大学","サイコロしきつめう",https://github.com/tut-cc/DiceTilingMeu,"","","","","","","",,""
215,26,0,68,"神戸大学","紅のうさぎ",https://github.com/kmyk/procon26,"","","","","","","",4,""
216,26,0,101,OB,"イシダタミ敷き詰めるべし！",https://github.com/betachelsea/procon26ob_ishidatami,"","","","",https://twitter.com/beta_chelsea/,"","",,""
217,26,0,102,OB,"ZK finder",https://github.com/tkhrotn/ZKfinder,"","",http://www.slideshare.net/takahirootani10/zk-finder,"","","","",,""
218,26,0,103,OB,"コルン","","",https://t.co/BSjjLW1xXP,"","","","",https://twitter.com/colun/status/653596934783897600,,""
219,26,0,104,OB,"ずくなし",https://github.com/earth2001y/procon26ob_no-zuku,"","","","",http://twitter.com/earth2001y,http://facebook.com/earth2001y,"",,""
220,26,0,105,OB,"未来ガジェット82号機 石畳マスター Ver3.12",https://github.com/umisama/procon26,"","","","",https://twitter.com/umisama,"","",,""
221,26,0,106,OB,ThreeStones,https://github.com/yuusuwalann/procon2015,"","","","","","","",,""
222,26,0,107,OB,"石んの会 〜解こうそう！〜",https://github.com/inada-s/procon26,"","","","","","","",,""
