id,name,date,place,title,competition_title,themed_title
25,"一関大会","2014年10月18日(土)〜19日(日)","一関文化センター","とどけよう、イーハトーヴの風〜僕らが創る希望郷〜","キオクのかけらII","防災・減災対策と復興支援"
26,"長野大会","2015年10月11日(日)〜12日(月)","ホクト文化ホール","発想だせ！　技術だせ！　ずくだせ！","石畳職人Ｚ","防災・減災対策と復興支援"
